Rank,Nome,Nota
1,Brass: Birmingham,8.61
2,Pandemic Legacy: Season 1,8.53
3,Gloomhaven,8.61
4,Ark Nova,8.53
5,Twilight Imperium: Fourth Edition,8.61
6,Terraforming Mars,8.37
7,Gloomhaven: Jaws of the Lion,8.49
8,Dune: Imperium,8.42
9,War of the Ring: Second Edition,8.53
10,Star Wars: Rebellion,8.42
11,Spirit Island,8.35
12,Gaia Project,8.40
13,Through the Ages: A New Story of Civilization,8.31
14,Twilight Struggle,8.25
15,Great Western Trail,8.22
16,Scythe,8.16
17,The Castles of Burgundy,8.13
18,7 Wonders Duel,8.10
19,Nemesis,8.29
20,Brass: Lancashire,8.19
21,Eclipse: Second Dawn for the Galaxy,8.49
22,Concordia,8.10
23,A Feast for Odin,8.18
24,Clank! Legacy: Acquisitions Incorporated,8.56
25,Wingspan,8.07
26,Terra Mystica,8.08
27,Arkham Horror: The Card Game,8.14
28,Lost Ruins of Arnak,8.08
29,Root,8.08
30,Orléans,8.06
31,Everdell,8.05
32,Great Western Trail (Second Edition),8.40
33,Mage Knight Board Game,8.09
34,Viticulture Essential Edition,8.00
35,Barrage,8.18
36,The Crew: Mission Deep Sea,8.21
37,Too Many Bones,8.35
38,Food Chain Magnate,8.08
39,Pax Pamir: Second Edition,8.24
40,Marvel Champions: The Card Game,8.13
41,Puerto Rico,7.93
42,Underwater Cities,8.07
43,Caverna: The Cave Farmers,7.96
44,Blood Rage,7.94
45,Anachrony,8.09
46,Cascadia,7.97
47,Agricola,7.89
48,On Mars,8.21
49,Crokinole,8.01
50,Pandemic Legacy: Season 0,8.44
51,Pandemic Legacy: Season 2,8.05
52,Kanban EV,8.45
53,Mansions of Madness: Second Edition,7.97
54,Sleeping Gods,8.29
55,Maracaibo,8.06
56,Lisboa,8.20
57,Tzolk'in: The Mayan Calendar,7.87
58,Power Grid,7.82
59,Frosthaven,8.86
60,Heat: Pedal to the Metal,8.15
61,The Quacks of Quedlinburg,7.84
62,Clans of Caledonia,7.95
63,The Crew: The Quest for Planet Nine,7.84
64,Paladins of the West Kingdom,8.00
65,Le Havre,7.85
66,Star Wars: Imperial Assault,7.97
67,The Gallerist,8.03
68,Mechs vs. Minions,7.98
